name,type,price,safeguard_time,area
海运花园,3室2厅,1700,2021/6/5,官渡
海伦国际塔林区,4居室,1178,2021/6/15,官渡
河畔俊园,4室2厅,1800,2020/6/15,官渡
俊发盛唐城F区,4居室,1210,2021/6/15,盘龙
世纪俊园,2室1厅,3000,2021/6/7,盘龙
龙江雅苑,4居室,798,2021/6/15,盘龙
融创春风十里云煕苑,3室2厅,2400,2021/6/13,五华
馨逸雅筑小区,2室2厅,2700,2021/6/6,官渡
万科魅力之城,1室1厅,1700,2021/5/17,官渡
金寿园,4室2厅,4100,2021/6/11,盘龙
万科魅力之城,4室2厅,2800,2021/6/8,官渡
海伦国际柏林区,5居室,798,2021/6/13,官渡
昆明恒大名都,2室2厅,1800,2021/6/15,五华
金马悦城,5居室,1026,2021/5/18,官渡
新希望观澜汇,3室2厅,1700,2021/6/1,西山
天宇澜山,4室2厅,2000,2021/6/2,盘龙
俊发观云海云悠苑,2室2厅,2300,2021/5/21,官渡
新希望白麓城,4室2厅,1500,2021/5/19,五华
远洋新干线,2室2厅,1300,2021/6/8,呈贡
筑友双河湾,1室0厅,300,2021/5/29,西山
昆华苑,4室2厅,1700,2021/6/4,安宁
德润朗悦湾,4居室,798,2021/6/15,盘龙
招商雍景湾,2室2厅,5000,2021/6/4,官渡
天骄北麓,4居室,1083,2021/6/8,五华
金地兰亭广场,1室1厅,1800,2021/6/4,西山
新亚洲体育城星云园,5居室,1178,2021/5/18,官渡
俊发观云海云悠苑,2室2厅,1900,2021/6/13,官渡
龙江雅苑,4居室,1178,2021/6/15,盘龙
葡萄街区天宇康苑,3室1厅,2500,2021/6/12,盘龙
国福现代城,4居室,1121,2021/6/13,五华
光辉城市,1室0厅,270,2021/6/15,西山
金马悦城,5居室,1026,2021/5/18,官渡
中海锦苑,3室2厅,2800,2021/6/13,五华
德润朗悦湾,4居室,798,2021/6/15,盘龙
万彩城,2室1厅,2200,2021/6/2,五华
天骄北麓,4居室,1083,2021/6/8,五华
蓝山数码,2室2厅,1900,2021/6/8,西山
星都国际总部基地,2室2厅,1800,2021/6/4,官渡
国贸二期,3室2厅,2100,2021/6/8,官渡
天骄北麓,3室2厅,2100,2021/6/7,五华
新亚洲体育城百合园西区,1室1厅,1800,2021/5/29,官渡
新亚洲体育城星云园,5居室,1178,2021/5/18,官渡
学府协信天地,1室1厅,2000,2021/5/26,五华
龙江雅苑,4居室,1178,2021/6/15,盘龙
金恒财富广场,4居室,1000,2021/6/3,盘龙
公园道一号,8室4厅,50000,2021/5/17,盘龙
滨江俊园,3室2厅,3500,2021/6/1,盘龙
金恒财富广场,2居室,1000,2021/6/3,盘龙
呈贡第七街区,1室1厅,1100,2021/5/26,呈贡
春城慧谷,3室1厅,1800,2021/6/12,五华
万科城市之光,3室2厅,2200,2021/6/12,盘龙
国福现代城,4居室,1121,2021/6/13,五华
瑞鼎城,3室2厅,2700,2021/6/3,盘龙
实力郡城,4居室,750,2021/6/15,盘龙
北辰小区茶花苑,3室2厅,2500,2021/6/10,盘龙
国福现代城,4居室,836,2021/6/15,五华
俊发观云海云漫岭,3室1厅,2450,2021/6/11,官渡
国福现代城,4居室,1216,2021/6/15,五华
万彩城,1室1厅,1500,2021/6/8,五华
万科中天翡翠,1室1厅,1700,2021/6/12,官渡
融创海豚湾,1室0厅,4800,2021/6/9,五华
中天融域,5居室,836,2021/5/21,西山
宏仁村城中村改造二区,2室2厅,1700,2021/6/7,官渡
华龙人家,5居室,1178,2021/6/8,五华
世纪城望春苑,3室2厅,2900,2021/6/8,官渡
假日城市,4居室,1216,2021/6/11,五华
众和东苑,5室2厅,3100,2021/6/4,呈贡
金泉小区,3室2厅,2500,2021/6/6,盘龙
昆明恒大金碧天下,5室3厅,2000,2021/6/8,安宁
中海锦苑,3室1厅,2500,2021/6/12,五华
东骧神骏,4室2厅,2800,2021/5/29,官渡
世纪城忆春苑,5居室,1130,2021/6/13,官渡
天怡峰景,3室2厅,2400,2021/6/6,盘龙
俊发城玉兰苑,4居室,741,2021/5/18,盘龙
凯旋花园北区,2室1厅,2700,2021/5/25,西山
万科翡翠滨江二期,3室2厅,4000,2021/6/2,官渡
东盟森林,1室1厅,1100,2021/5/25,呈贡
山海湾,1室1厅,2200,2021/6/1,官渡
广福商业中心,1室1厅,1700,2021/6/6,西山
七彩云南第壹城,1室1厅,3500,2021/6/9,呈贡
华润中央公园,4室2厅,2600,2021/6/13,盘龙
东骧神骏,5居室,798,2021/5/18,官渡
滇池泊屋,2室2厅,2200,2021/6/5,西山
新亚洲体育城星云园,5居室,931,2021/5/18,官渡
金地We’R悦空间,1室1厅,1800,2021/5/30,西山
海伦国际贝宁区,4居室,1178,2021/6/8,官渡
鼎易天城,1室0厅,350,2021/5/27,五华
世纪城沁春苑,5居室,1121,2021/6/8,官渡
蓝光天娇城,4室2厅,1500,2021/6/4,呈贡
天怡峰景,4居室,1121,2021/5/18,盘龙
审计厅宿舍,3室2厅,3100,2021/5/24,五华
中天融域,5居室,931,2021/5/18,西山
龙江雅苑,2室2厅,1800,2021/6/1,盘龙
海伦国际柏林区,5居室,1178,2021/6/13,官渡
俊发城芙蓉苑,2室1厅,2000,2021/6/15,盘龙
金江小区·曦苑,4居室,1216,2021/6/8,盘龙
江东花城,3室2厅,2300,2021/6/8,盘龙
云山小区,3室2厅,2300,2021/6/2,盘龙
万辉星城蓝山郡,3室2厅,1500,2021/5/19,安宁
万科翡翠滨江一期,3室2厅,3000,2021/6/13,官渡
滨江俊园,3室2厅,4500,2021/6/11,盘龙
鼎易天景,4居室,1215,2021/6/13,五华
红星天铂,3室2厅,2600,2021/5/24,官渡
老李山小区,4居室,798,2021/6/8,盘龙
红星紫郡,3室1厅,3500,2021/6/10,西山
北辰财富中心,1室1厅,2000,2021/5/26,盘龙
阳光海岸,7室1厅,30000,2021/6/8,西山
仿江南水乡,3室2厅,2700,2021/6/13,盘龙
第三城丹槿园,3室2厅,2200,2021/6/12,官渡
中海云著,3室2厅,2300,2021/5/29,五华
尚都·国际,2室2厅,2300,2021/6/8,盘龙
金江小区·曦苑,4居室,1178,2021/6/13,盘龙
招商海公馆,2室2厅,3200,2021/6/12,官渡
枫林盛景西区,4居室,1178,2021/6/13,官渡
花样年华小区,3室2厅,2600,2021/6/9,官渡
天骄北麓,4居室,1121,2021/6/8,五华
俊发城百合苑,3室2厅,2000,2021/5/27,盘龙
金领时代,4居室,1216,2021/6/8,盘龙
万科魅力之城,1室2厅,1300,2021/6/7,官渡
海伦国际塔林区,4居室,798,2021/6/13,官渡
汇都国际,1室1厅,3000,2021/6/2,盘龙
俊发盛唐城,4居室,836,2021/6/15,盘龙
招商雍景湾,4室2厅,1800,2021/6/4,官渡
天怡峰景,4居室,741,2021/5/18,盘龙
天怡峰景,2室2厅,2200,2021/6/8,盘龙
海伦国际塔林区,4居室,1216,2021/6/13,官渡
奥宸橙郡二期,2室1厅,2000,2021/6/13,官渡
俊发生态半岛,4室4厅,8888,2021/6/14,官渡
理想小镇,5室3厅,3800,2021/6/7,西山
碧桂园玺台,2室2厅,1800,2021/6/12,五华
海伦国际布拉格公寓,2室2厅,1650,2021/6/13,官渡
丽水雅苑,4居室,798,2021/5/18,盘龙
中产花香四季,3室2厅,1800,2021/6/12,五华
国福现代城,4居室,1216,2021/6/8,五华
俊发城百合苑,3室2厅,2300,2021/5/21,盘龙
海伦国际布拉格公寓,2室2厅,1650,2021/6/13,官渡
昆明融创文旅城,3室2厅,3000,2021/5/21,西山
润城,4室2厅,3600,2021/6/11,西山
金恒财富广场,4居室,950,2021/5/21,盘龙
