dt,close,open,ratio
2025/7/4,1.23,1.234,0.57
2025/7/3,1.223,1.225,0.25
2025/7/2,1.22,1.215,0.00
2025/7/1,1.22,1.228,-0.49
2025/6/30,1.226,1.224,0.66
2025/6/27,1.218,1.213,1.08
2025/6/26,1.205,1.204,0.25
2025/6/25,1.202,1.2,0.17
2025/6/24,1.2,1.193,2.48
2025/6/23,1.171,1.166,-0.34
2025/6/20,1.175,1.174,0.17
2025/6/19,1.173,1.173,-0.59
2025/6/18,1.18,1.181,-0.34
2025/6/17,1.184,1.184,0.42
2025/6/16,1.179,1.174,0.86
2025/6/13,1.169,1.167,-1.10
2025/6/12,1.182,1.181,-0.34
2025/6/11,1.186,1.186,0.34
2025/6/10,1.182,1.188,0.08
2025/6/9,1.181,1.182,0.34
2025/6/6,1.177,1.172,-0.34
2025/6/5,1.181,1.185,-0.34
2025/6/4,1.185,1.187,0.77
2025/6/3,1.176,1.18,0.34
2025/5/30,1.172,1.167,-2.01
2025/5/29,1.196,1.195,1.53
2025/5/28,1.178,1.18,1.12
2025/5/27,1.165,1.155,0.78
2025/5/26,1.156,1.155,0.35
2025/5/23,1.152,1.156,-0.35
2025/5/22,1.156,1.158,-0.69
2025/5/21,1.164,1.176,-1.10
2025/5/20,1.177,1.18,1.03
2025/5/19,1.165,1.169,-0.94
2025/5/16,1.176,1.178,0.17
2025/5/15,1.174,1.18,-0.59
2025/5/14,1.181,1.17,2.79
2025/5/13,1.149,1.155,0.88
2025/5/12,1.139,1.137,1.88
2025/5/9,1.118,1.119,-0.09
2025/5/8,1.119,1.114,1.36
2025/5/7,1.104,1.105,0.27
2025/5/6,1.101,1.112,0.64
2025/4/30,1.094,1.095,0.09
2025/4/29,1.093,1.098,-0.09
2025/4/28,1.094,1.088,0.37
2025/4/25,1.09,1.09,2.93
2025/4/24,1.059,1.072,-1.30
2025/4/23,1.073,1.062,3.37
2025/4/22,1.038,1.035,-0.10
2025/4/21,1.039,1.039,-0.57
2025/4/18,1.045,1.045,-0.85
2025/4/17,1.054,1.035,1.05
2025/4/16,1.043,1.054,-2.25
2025/4/15,1.067,1.074,-1.39
2025/4/14,1.082,1.08,1.31
