dt,close,open,ratio
2025/8/1,7.352,7.343,0.03
2025/7/31,7.35,7.329,-0.37
2025/7/30,7.377,7.387,0.19
2025/7/29,7.363,7.35,-0.34
2025/7/28,7.388,7.382,-0.28
2025/7/25,7.409,7.415,-0.20
2025/7/24,7.424,7.459,-1.64
2025/7/23,7.548,7.54,0.99
2025/7/22,7.474,7.483,0.38
2025/7/21,7.446,7.43,0.58
2025/7/18,7.403,7.394,0.08
2025/7/17,7.397,7.403,-0.07
2025/7/16,7.402,7.394,-0.46
2025/7/15,7.436,7.41,-0.05
2025/7/14,7.44,7.426,0.87
2025/7/11,7.376,7.375,0.07
2025/7/10,7.371,7.371,0.78
2025/7/9,7.314,7.347,-1.14
2025/7/8,7.398,7.397,0.58
2025/7/7,7.355,7.348,-0.70
2025/7/4,7.407,7.4,-0.51
2025/7/3,7.445,7.407,0.69
2025/7/2,7.394,7.395,-0.04
2025/7/1,7.397,7.359,1.13
2025/6/30,7.314,7.3,-0.16
2025/6/27,7.326,7.365,-1.07
2025/6/26,7.405,7.39,0.18
2025/6/25,7.392,7.378,0.27
2025/6/24,7.372,7.431,-1.23
2025/6/23,7.464,7.452,0.38
2025/6/20,7.436,7.46,-0.39
2025/6/19,7.465,7.5,-0.51
2025/6/18,7.503,7.499,0.05
2025/6/17,7.499,7.525,-0.85
2025/6/16,7.563,7.629,-0.33
2025/6/13,7.588,7.616,1.21
2025/6/12,7.497,7.505,0.93
2025/6/11,7.428,7.42,0.31
2025/6/10,7.405,7.366,0.07
2025/6/9,7.4,7.364,-1.08
2025/6/6,7.481,7.477,-0.03
2025/6/5,7.483,7.499,0.12
2025/6/4,7.474,7.488,-0.05
2025/6/3,7.478,7.501,1.48
2025/5/30,7.369,7.39,0.95
2025/5/29,7.3,7.263,-1.02
2025/5/28,7.375,7.369,0.12
2025/5/27,7.366,7.434,-0.79
2025/5/26,7.425,7.438,-0.39
2025/5/23,7.454,7.405,0.05
2025/5/22,7.45,7.478,0.15
2025/5/21,7.439,7.381,3.19
2025/5/20,7.209,7.217,-0.18
2025/5/19,7.222,7.206,0.63
2025/5/16,7.177,7.195,1.63
2025/5/15,7.062,7.165,-2.95
2025/5/14,7.277,7.309,-0.75
2025/5/13,7.332,7.291,-0.60
2025/5/12,7.376,7.341,-2.06
