M7	0	0	0
IBIT	3.5	4.3	5.8
QQQ	1.9	2.8	3.1
NVDA	4.2	6.4	7.1
AAPL	2.5	3.3	4.1
TSLA	5.1	6.3	8.5
MSFT	1.8	2.4	3.4
GOOG	2.4	3.9	4.6
AMZN	2.5	3.4	4.2
META	2.4	4	4.6
PLTR	4.3	5.7	7.9
MSTR	6.4	8.8	10
TSM	3.5	4.6	6
AVGO	3.9	5.4	7.2
NFLX	2	2.7	3.6
SMCI	8.2	10.6	12
HOOD	5	7.4	8.2
COIN	5.8	7.8	8.2
AMD	3.8	5.6	7.9
MU	4.1	5.4	8.1
CRCL	1.2	1.2	1.3
RGTI	8.2	10.8	12
IONQ	7.2	9.6	11.1
RKLB	5.3	7.8	9
ASTS	6.8	8.5	10.5
MP	4.1	6.7	8.5
SMR	7.7	8.7	10.6
QS	5	6.7	7.8
ENVX	6.9	8.5	10.4
CRDO	5.5	9.7	10.4
ROKU	3.9	5	7.3
RBLX	2.7	4	5.9
